Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,DALMALKAPALLY,6,WATER WORKS,3,1,920,11.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,DEVANPALLI,6,WATER WORKS,3,3,2029,11.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,GANDHIMASANIPET,6,WATER WORKS,5,4,3127,26.23
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,HAJIPOOR,6,WATER WORKS,3,3,691,15.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,JANGAMIPALLI,6,WATER WORKS,4,2,1293,16.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,JANKAMPALLY(K),6,WATER WORKS,2,2,0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,KOTTAL,6,WATER WORKS,1,1,1275,2.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,KOTTAPALLY,6,WATER WORKS,2,2,2696,13.91
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,Kalyani,6,WATER WORKS,5,5,11174,31.698
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,Kokkonda,6,WATER WORKS,3,3,1455,13.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LAXMAPOOR,6,WATER WORKS,3,3,1569,13.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LINGAREDDIPET,6,WATER WORKS,11,11,14863,36.0
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,HUZURABAD ROAD,6,WATER WORKS,1,0,0,5.0
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,MOTHUKALAGUDEM (JKT),6,WATER WORKS,3,2,13,15.0
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,OLD JAMMIKUNTA (JKT),6,WATER WORKS,9,7,1488,48.91
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,PANCHAMUKHA HANUMAN TEMPLE ,6,WATER WORKS,1,1,275,2.0
KARIMNAGAR,HUZURABAD,JAMMIKUNTA,JAMMIKUNTA TOWN,SHALAWADA ,6,WATER WORKS,1,1,374,5.0
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,ALGUNUR,6,WATER WORKS,21,20,11764,120.84
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,MAHATHMA NAGAR,6,WATER WORKS,13,13,6456,75.34
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,ALUGUNUR,MALLAPUR,6,WATER WORKS,20,19,3749,98.68
JANGAON,GHANPUR,PALAKURTHY,PALAKURTHY RURAL,THORRUR,6,WATER WORKS,6,6,15484,30.0
JANGAON,GHANPUR,PALAKURTHY,PALAKURTHY RURAL,VISNOOR,6,WATER WORKS,6,5,2576,35.0
JANGAON,GHANPUR,PALAKURTHY,PALAKURTHY RURAL,YELLAMMAGADDA THANDA,6,WATER WORKS,1,1,113,5.0
JANGAON,JANGAON,DEVARUPPALA,DEVARUPPALA,CHIPPARALLABANDA THANDA,6,WATER WORKS,1,1,0,5.0
JANGAON,JANGAON,DEVARUPPALA,DEVARUPPALA,DEVARUPPULA (H),6,WATER WORKS,11,11,13758,76.73
JANGAON,JANGAON,DEVARUPPALA,DEVARUPPALA,DHARAMAPUR,6,WATER WORKS,6,4,1293,22.0
JANGAON,JANGAON,DEVARUPPALA,DEVARUPPALA,GOLLAPALLI,6,WATER WORKS,6,6,1449,25.0
JANGAON,JANGAON,DEVARUPPALA,DEVARUPPALA,KADAVENDI,6,WATER WORKS,7,7,9139,35.0
JANGAON,JANGAON,DEVARUPPALA,DEVARUPPALA,KAMAREDDYGUDEM,6,WATER WORKS,10,10,5728,88.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,ABDUL NAGARAM,6,WATER WORKS,6,6,5982,27.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,AKKARAJPALLI,6,WATER WORKS,8,6,1633,28.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,ANKUSHAPUR,6,WATER WORKS,9,6,3054,42.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,BOJYA THANDA,6,WATER WORKS,2,2,77,8.667
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,BONTHAGATTUNAGARAM,6,WATER WORKS,7,5,219,26.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,BOTHALAPARRI THANDA,6,WATER WORKS,21,5,144,93.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,JALBAI THANDA,6,WATER WORKS,3,3,653,15.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,KOTHA THANDA,6,WATER WORKS,3,3,1026,15.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,MANSINGH THANDA,6,WATER WORKS,3,3,347,12.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,MARIYAPURAM,6,WATER WORKS,3,1,0,15.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,NARSAPUR,6,WATER WORKS,6,3,354,30.0
JANGAON,JANGAON,RAGHUNATHPALLY,THARIGOPPULA,NARSINGAPUR,6,WATER WORKS,1,1,0,5.0
KAMAREDDY,BANSWADA,PITLAM,NIZAMSAGAR,NARWA,6,WATER WORKS,7,7,4351,14.503
KAMAREDDY,BANSWADA,PITLAM,NIZAMSAGAR,NIZAMSAGAR,6,WATER WORKS,7,7,823,21.009
KAMAREDDY,BANSWADA,PITLAM,NIZAMSAGAR,SHAREKHANPALLY,6,WATER WORKS,1,1,668,3.0
KAMAREDDY,BANSWADA,PITLAM,NIZAMSAGAR,SINGEETHAM,6,WATER WORKS,12,12,1905,36.917
KAMAREDDY,BANSWADA,PITLAM,NIZAMSAGAR,SULTANA NAGAR,6,WATER WORKS,2,1,811,7.0
KAMAREDDY,BANSWADA,PITLAM,NIZAMSAGAR,TELGAPUR,6,WATER WORKS,3,3,3540,7.0
KAMAREDDY,BANSWADA,PITLAM,NIZAMSAGAR,TUNIKIPALLY,6,WATER WORKS,6,6,3617,32.0
KAMAREDDY,BANSWADA,PITLAM,NIZAMSAGAR,VELGANUR,6,WATER WORKS,2,2,2053,10.0
KAMAREDDY,BANSWADA,PITLAM,NIZAMSAGAR,WADDAPALLY,6,WATER WORKS,6,6,3922,26.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,SHAYAMPET,GOLLAPALLY,6,WATER WORKS,1,1,266,7.0
JAGITYAL,JAGITYAL,DHARMAPURI,DHARMAPURI,JAINA,6,WATER WORKS,6,6,3777,34.5
JAGITYAL,JAGITYAL,DHARMAPURI,DHARMAPURI,KORANDLAPALLY,6,WATER WORKS,1,1,136,5.0
JAGITYAL,JAGITYAL,DHARMAPURI,DHARMAPURI,KOSUNOORPALLY,6,WATER WORKS,2,2,673,10.0
JAGITYAL,JAGITYAL,DHARMAPURI,DHARMAPURI,MOGGIDI YEDAPALLY,6,WATER WORKS,1,1,357,6.0
JAGITYAL,JAGITYAL,DHARMAPURI,DHARMAPURI,NARSAIAHPALLY,6,WATER WORKS,2,2,548,7.0
JAGITYAL,JAGITYAL,DHARMAPURI,DHARMAPURI,PEDDA NUKKALAPET,6,WATER WORKS,1,1,736,5.59
JAGITYAL,JAGITYAL,DHARMAPURI,DHARMAPURI,RAJAVARAM,6,WATER WORKS,7,7,2341,24.5
JAGITYAL,JAGITYAL,DHARMAPURI,DHARMAPURI,THIGALADHARMARAM,6,WATER WORKS,2,2,277,10.0
JAGITYAL,JAGITYAL,DHARMAPURI,NERELLA,BEERSANI,6,WATER WORKS,1,1,1368,7.5
JAGITYAL,JAGITYAL,DHARMAPURI,NERELLA,BUGGARAM,6,WATER WORKS,5,5,1291,20.007
JAGITYAL,JAGITYAL,DHARMAPURI,NERELLA,BURUGUPALLY,6,WATER WORKS,1,1,764,5.0
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,KOTHAPET,6,WATER WORKS,17,16,5324,95.5
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,Kairigudemst (tribal),6,WATER WORKS,1,1,260,8.0
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,MOOTAPALLY,6,WATER WORKS,14,14,5265,28.246
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,Manthyanayak thanda,6,WATER WORKS,2,2,846,6.0
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,ODDELINGAPOOR,6,WATER WORKS,7,3,1543,19.73
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,ODDERA COLONY,6,WATER WORKS,6,6,2722,11.5
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,RAMARAOPALLY,6,WATER WORKS,1,1,236,5.0
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,THATLAVAI,6,WATER WORKS,3,3,845,10.746
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,VASTAPUR,6,WATER WORKS,2,2,714,10.0
JAGITYAL,JAGITYAL,Jagitial Town,CHELGAL,AMBARIPET,6,WATER WORKS,2,2,1933,10.167
JAGITYAL,METPALLY,MALLAPOOR,IBRAHIMPATNAM,THIMMAPOOR,6,WATER WORKS,15,2,452,29.9
JAGITYAL,METPALLY,MALLAPOOR,IBRAHIMPATNAM,VEMULAKURTHY,6,WATER WORKS,31,5,2246,51.92
JAGITYAL,METPALLY,MALLAPOOR,IBRAHIMPATNAM,YAMAPOOR,6,WATER WORKS,25,2,642,67.0
JAGITYAL,METPALLY,MALLAPOOR,MALLAPOOR,DHAMRAJPALLY (NEW),6,WATER WORKS,13,2,1107,17.0
JAGITYAL,METPALLY,MALLAPOOR,MALLAPOOR,DHAMRAJPALLY (OLD),6,WATER WORKS,12,2,620,16.0
JAGITYAL,METPALLY,MALLAPOOR,MALLAPOOR,GORREPALLY,6,WATER WORKS,17,2,1364,31.0
JAGITYAL,METPALLY,MALLAPOOR,MALLAPOOR,KUSTAPOOR H/o MALLAP,6,WATER WORKS,24,5,1564,41.0
JAGITYAL,METPALLY,MALLAPOOR,MALLAPOOR,MALLAPOOR,6,WATER WORKS,100,27,11979,165.46
JAGITYAL,METPALLY,MALLAPOOR,MALLAPOOR,MOGILIPET,6,WATER WORKS,23,8,499,43.0
JAGITYAL,METPALLY,MALLAPOOR,MALLAPOOR,OBLAPOOR,6,WATER WORKS,11,3,912,19.0
JANGAON,GHANPUR,PALAKURTHY,PALAKURTHY RURAL,THIRUMALAGIRI,6,WATER WORKS,4,2,3079,22.5
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,TIRUMALAPURAM,6,WATER WORKS,1,1,1341,8.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,BAGAVAN THANDA,6,WATER WORKS,1,1,520,5.0
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,PERUVANCHA,6,WATER WORKS,3,2,3975,15.0
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,PULLAIAH BANZAR,6,WATER WORKS,2,2,2862,10.0
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,RAGHUNADHAGUDEM,6,WATER WORKS,3,2,2785,15.0
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,RAMAKRISHNAPURAM,6,WATER WORKS,1,1,200,5.0
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,SAMBAIAHBANZARA,6,WATER WORKS,3,3,708,15.0
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,VENKATAPURAM(P),6,WATER WORKS,2,2,2853,10.0
KHAMMAM,SATHUPALLY,PENUBALLY,KALLURU,WACHANAYAKTHAND,6,WATER WORKS,3,3,743,10.007
KHAMMAM,SATHUPALLY,PENUBALLY,LANKAPALLY,A.GANESHPADU,6,WATER WORKS,1,1,1950,5.0
KHAMMAM,SATHUPALLY,PENUBALLY,LANKAPALLY,CHOUDARAM,6,WATER WORKS,1,1,57,5.0
KHAMMAM,SATHUPALLY,PENUBALLY,LANKAPALLY,GOLLA GUDEM,6,WATER WORKS,1,1,1331,5.0
KHAMMAM,SATHUPALLY,PENUBALLY,LANKAPALLY,GURUVAIGUDEM,6,WATER WORKS,1,1,799,5.0
KHAMMAM,SATHUPALLY,PENUBALLY,LANKAPALLY,K.M.BANZAR,6,WATER WORKS,1,1,2300,5.0
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GANGADEVIPADU,6,WATER WORKS,1,1,294,5.0
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GOLLA GUDEM,6,WATER WORKS,1,1,2120,7.5
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GOPALAPETA,6,WATER WORKS,2,2,1473,9.5
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,JAGANNADHAPURAM,6,WATER WORKS,1,1,2299,5.0
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,KOTHA VENKATAGIRI,6,WATER WORKS,2,2,2248,12.5
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,LAXMI NAGAR,6,WATER WORKS,1,1,0,5.0
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,MALLARAM,6,WATER WORKS,4,4,10046,32.83
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,MANGAPURAM,6,WATER WORKS,2,2,1198,15.09
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,NARAYANAPURAM-B,6,WATER WORKS,4,4,2921,23.23
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,RAMCHANDRAPURAM,6,WATER WORKS,2,2,5039,8.0
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,REDDY GUDEM,6,WATER WORKS,2,2,1529,10.73
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL-TOWN,SARWAPOOR,6,WATER WORKS,2,2,1296,7.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL-TOWN,SEETHARAMPUR,6,WATER WORKS,5,5,249,22.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL-TOWN,VELLAMPALLI,6,WATER WORKS,3,1,3097,15.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,SHAYAMPET,APPAIAHPALLY,6,WATER WORKS,1,1,496,5.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,SHAYAMPET,GANGIRENIGUDEM,6,WATER WORKS,2,2,1376,6.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,SHAYAMPET,GATLAKANPARTHY,6,WATER WORKS,3,2,2548,16.0
KARIMNAGAR,KARIMNAGAR,Karimnagar Town,KRN TOWN 8,HOUSING BOARD,6,WATER WORKS,1,1,1391,15.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,GANNERUVARAM,PEECHUPALLY,6,WATER WORKS,3,2,2138,20.33
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,GANNERUVARAM,SAMBAIAH PALLY,6,WATER WORKS,1,1,87,2.667
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,GANNERUVARAM,YASWADA,6,WATER WORKS,2,1,1206,76.81
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,BOMMANAPALLY,6,WATER WORKS,18,18,3659,66.838
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,GAGIREDDYPALLY,6,WATER WORKS,10,10,3622,38.31
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,GUNUKULAPALLI,6,WATER WORKS,6,6,1083,57.007
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,INDURTHY,6,WATER WORKS,28,15,4024,111.677
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,KONDAPUR,6,WATER WORKS,12,12,4116,96.401
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,NAVABPET,6,WATER WORKS,29,29,9844,140.477
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,INDURTHI,OGULAPUR,6,WATER WORKS,11,6,5591,59.499
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,SUKKI THANDA-KAM,6,WATER WORKS,1,1,419,5.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,TALLAGUDEM-KAM,6,WATER WORKS,1,1,216,5.0
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,TEKULA PALLY-KAM,6,WATER WORKS,2,1,24,8.75
KHAMMAM,KHAMMAM,KOTHALINGALA,KOTHALINGALA,TEKULA THANDA-KAM,6,WATER WORKS,3,2,695,15.0
KHAMMAM,KHAMMAM,PEDDA GOPATHI,CHINTHAKANI,ANANTHASAGAR,6,WATER WORKS,2,2,1604,10.0
KHAMMAM,KHAMMAM,PEDDA GOPATHI,CHINTHAKANI,BASAVAPURAM,6,WATER WORKS,4,3,2550,21.0
KHAMMAM,KHAMMAM,PEDDA GOPATHI,CHINTHAKANI,CHINTHAKANI,6,WATER WORKS,4,3,2704,61.674
KHAMMAM,KHAMMAM,PEDDA GOPATHI,CHINTHAKANI,KODUMURU,6,WATER WORKS,4,4,4790,18.283
KHAMMAM,KHAMMAM,PEDDA GOPATHI,CHINTHAKANI,KOMATLAGUDEM,6,WATER WORKS,3,3,197,15.0
KHAMMAM,KHAMMAM,PEDDA GOPATHI,CHINTHAKANI,LATCHAGUDEM,6,WATER WORKS,2,2,1535,7.783
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,MUJJUGUDEM,6,WATER WORKS,3,2,4435,12.174
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,NACHEPALLY,6,WATER WORKS,3,3,3498,13.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,NELAKONDAPALLY,6,WATER WORKS,10,10,12434,57.333
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,NELAKONDAPALLY,PYNAMPALLY,6,WATER WORKS,5,5,7409,30.5
