Districts,Nationalized Banks,Private Banks,Regional Rural Banks,Cooperative Banks,ATMs,Districts_encoded,Nationalized Banks_std,Private Banks_std,Regional Rural Banks_std,Cooperative Banks_std,ATMs_std,Nationalized Banks_log,Private Banks_log,ATMs_log,Nationalized Banks_Private Banks_ratio,Nationalized Banks_Regional Rural Banks_ratio,Nationalized Banks_Cooperative Banks_ratio,Nationalized Banks_ATMs_ratio,Private Banks_Regional Rural Banks_ratio
KOMARAM BHEEM ,32,0,0,6,17,10.0,-0.4924987447381136,-0.550922552169892,-1.3874627641139163,-0.5647434684750106,-0.5699377071421992,3.4965075614664802,0.0,2.8903717578961645,4.78030303030303,2.5,5.333333333333333,1.8823529411764706,0.5584415584415584
MAHABUBABAD,39,2,13,7,48,11.0,-0.4483549084687329,-0.5099175122724932,-0.7030717066623763,-0.3538151850686813,-0.43562918910304926,3.6888794541139363,1.0986122886681098,3.8918202981106265,19.5,3.0,5.571428571428571,0.8125,0.15384615384615385
MAHABUBNAGAR,63,57,38,6,85,12.0,-0.2970046126879991,0.6177210849059774,0.6130649422828932,-0.5647434684750106,-0.2753254740240639,4.1588830833596715,4.060443010546419,4.454347296253507,1.105263157894737,1.6578947368421053,10.5,0.7411764705882353,1.5
MANCHERIAL ,48,7,36,7,84,13.0,-0.39159854755095774,-0.4074049125289958,0.5077740103672717,-0.3538151850686813,-0.27965800686403647,3.8918202981106265,2.0794415416798357,4.442651256490317,6.857142857142857,1.3333333333333333,6.857142857142857,0.5714285714285714,0.19444444444444445
MEDAK ,52,7,22,10,48,14.0,-0.36637349825416876,-0.4074049125289958,-0.22926251304207923,0.2789696651503063,-0.43562918910304926,3.970291913552122,2.0794415416798357,3.8918202981106265,7.428571428571429,2.3636363636363638,5.2,1.0833333333333333,0.3181818181818182
MEDCHAL,279,84,28,6,218,15.0,1.0651480493386052,1.171289123520863,0.08661028270478545,-0.5647434684750106,0.30090139369228897,5.634789603169249,4.442651256490317,5.389071729816501,3.3214285714285716,9.964285714285714,46.5,1.2798165137614679,3.0
NAGARKURNOOL ,38,5,25,5,42,16.0,-0.45466117079293017,-0.44840995242639475,-0.0713261151686469,-0.7756717518813397,-0.4616243861428847,3.6635616461296463,1.791759469228055,3.7612001156935624,7.6,1.52,7.6,0.9047619047619048,0.2
NALGONDA ,118,16,75,7,162,17.0,0.049839815142849186,-0.22288223299070065,2.560947182721892,-0.3538151850686813,0.05827955465382462,4.77912349311153,2.833213344056216,5.093750200806762,7.375,1.5733333333333333,16.857142857142858,0.7283950617283951,0.21333333333333335
NIRMAL ,38,5,28,22,43,18.0,-0.45466117079293017,-0.44840995242639475,0.08661028270478545,2.8101090660262567,-0.4572918533029121,3.6635616461296463,1.791759469228055,3.784189633918261,7.6,1.3571428571428572,1.7272727272727273,0.8837209302325582,0.17857142857142858
NIZAMABAD ,156,33,42,9,254,19.0,0.2894777834623444,0.12566060613719027,0.8236468061141363,0.0680413817439771,0.45687257593130176,5.056245805348308,3.5263605246161616,5.541263545158426,4.7272727272727275,3.7142857142857144,17.333333333333332,0.6141732283464567,0.7857142857142857
