District_Hospitals,Health_Sub_Centres_Mean_by_District_Hospitals,Health_Sub_Centres_Std_by_District_Hospitals,Primary_Health_Centres_Mean_by_District_Hospitals,Primary_Health_Centres_Std_by_District_Hospitals,Community_Health_Centres_Mean_by_District_Hospitals,Community_Health_Centres_Std_by_District_Hospitals,District_Hospitals_Normalized,Health_Sub_Centres_Mean_by_District_Hospitals_Normalized,Health_Sub_Centres_Std_by_District_Hospitals_Normalized,Primary_Health_Centres_Mean_by_District_Hospitals_Normalized,Primary_Health_Centres_Std_by_District_Hospitals_Normalized,Community_Health_Centres_Mean_by_District_Hospitals_Normalized,Community_Health_Centres_Std_by_District_Hospitals_Normalized,Beds_in_all_Hospitals,Beds_in_all_Hospitals_Normalized,Health_Sub_Centres_Normalized,Primary_Health_Centres_Normalized,Community_Health_Centres_Normalized,Area_Hospitals_Normalized,Teaching_Hospitals_Normalized,Ayurveda_Hospitals_incl_Dispensaries_Normalized,Homeopathic_Hospitals_incl_Dispensaries_Normalized,Unani_Hospitals_incl_Dispensaries_Normalized,Naturopathy_Hospitals_incl_Dispensaries_Normalized,Doctors_in_all_Hospitals_Normalized,Hospitals,Health_Sub_Centres,Primary_Health_Centres,Community_Health_Centres,Area_Hospitals,Teaching_Hospitals,Ayurveda_Hospitals_incl_Dispensaries,Homeopathic_Hospitals_incl_Dispensaries,Unani_Hospitals_incl_Dispensaries,Naturopathy_Hospitals_incl_Dispensaries,Doctors_in_all_Hospitals
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,148,-0.4867419037032183,-0.8695916443921546,-0.3007426590379164,-0.4963904185419524,-1.224744871391589,-0.3038564396128884,-0.5953427315024458,-0.7169343050820743,-0.4788489536147222,-0.5801774647494381,-0.18654398420847762,KOMARAM BHEEM ,109,18,2,0,0,6,2,3,0,46
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,288,-0.35421619090071094,0.2520466613858782,-0.37532683847931975,-0.9238377233975226,0.0,-0.3038564396128884,0.26305841624526694,0.590416486538179,-0.1695923377385475,0.16921842721858615,-0.23106560233864468,MAHABUBABAD,168,17,1,1,0,10,6,4,1,37
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,198,-0.4394112919880371,1.202587598485906,0.4450991353761165,0.35850419116918797,0.0,0.2194518730537527,1.7652604248037642,-0.06325890927194769,0.4489208940138018,-0.5801774647494381,-0.1420223660783106,MAHABUBNAGAR,218,28,4,1,1,17,4,6,0,55
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,314,-0.3296042728088167,-0.47036445081014294,-0.449911017920723,-0.06894311368638223,0.0,-0.3038564396128884,-0.3807424445655176,-0.39009660717701106,-0.4788489536147222,0.16921842721858615,-0.1914908306673851,MANCHERIAL ,130,16,3,1,0,7,3,3,1,45
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,204,-0.4337316185822153,0.09996011144987375,-0.22615847959651314,-0.4963904185419524,0.0,-0.3038564396128884,0.4776587031821951,-0.39009660717701106,-0.7881055694908968,0.16921842721858615,-0.16675659837284784,MEDAK ,160,19,2,1,0,11,3,2,1,50
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,96,-0.5359657398870067,-0.9456349193601569,-0.8228319151277395,-0.4963904185419524,-1.224744871391589,-0.3038564396128884,-1.0245433053763022,-0.7169343050820743,-0.4788489536147222,-0.5801774647494381,-0.3151619921400713,MEDCHAL,105,11,2,0,0,4,2,3,0,20
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,330,-0.3144584770599587,0.46116566754788435,0.14676241761050332,0.35850419116918797,0.0,-0.3038564396128884,2.623661572551477,0.2635787886331157,1.3766907416423257,-0.5801774647494381,-0.2508529881742745,NAGARKURNOOL ,179,24,4,1,0,21,5,9,0,33
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,1380,0.6794843689588463,1.9440095294239277,0.7434358531417297,-0.4963904185419524,1.224744871391589,-0.3038564396128884,1.7652604248037642,2.551442673968559,2.6137172051470245,-0.5801774647494381,-0.09750074794814356,NALGONDA ,257,32,2,2,0,17,12,13,0,64
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,198,-0.4394112919880371,-0.850580825650154,-0.449911017920723,-0.4963904185419524,1.224744871391589,-0.3038564396128884,-1.2391435923132303,-1.0437720029871378,-0.7881055694908968,0.16921842721858615,-0.21622506296192232,NIRMAL ,110,16,2,2,0,3,1,2,1,40
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,967,0.2885335161914497,1.3166525109379095,-0.0024059412723032637,2.0682934105914685,0.0,0.2194518730537527,-0.16614215762858942,-0.06325890927194769,-0.1695923377385475,0.9186143191866104,-0.04803228335906907,NIZAMABAD ,224,22,8,1,1,8,4,4,2,74
