MNTH,CIRCLE,DIVNAME,SDNAME,SECNAME,AREANAME,CAT,CATDESC,TOTSERVICES,BILLDSRVS,UNITS,LOAD,MNTH_2019-05-31,MNTH_nan,CIRCLE_encoded,DIVNAME_encoded,CATDESC_AGRICULTURAL,CATDESC_nan,CAT_std,TOTSERVICES_std,BILLDSRVS_std,UNITS_std,LOAD_std,UNITS_log,CAT_TOTSERVICES_ratio,CAT_BILLDSRVS_ratio,CAT_UNITS_ratio,CAT_LOAD_ratio,TOTSERVICES_BILLDSRVS_ratio
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,CHENEVELLY,5,AGRICULTURAL,301,293.0,250.0,1081.86,True,False,0.0,11.0,True,False,0.0,0.8504817662155575,0.8798526889625085,-0.00750679849954303,0.7906495397560506,5.5254529391317835,0.016611295681063124,0.017064846416382253,0.02,0.004621670086702531,1.0273037542662116
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,CHEVELLA,5,AGRICULTURAL,270,257.0,0.0,1012.5,True,False,0.0,11.0,True,False,0.0,0.6641640190249151,0.6540736904051401,-0.21825327419646498,0.6785073869393067,0.0,0.018518518518518517,0.019455252918287938,0.004,0.0049382716049382715,1.0505836575875487
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,CHINNARAVULAPALLY,5,AGRICULTURAL,129,127.0,5095.0,483.75,True,False,0.0,11.0,True,False,0.0,-0.18328121819703905,-0.16123935994091232,4.076759900506804,-0.17638251072293978,8.536211197252,0.03875968992248062,0.03937007874015748,0.0009813542688910696,0.0103359173126615,1.015748031496063
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,D ERRAVELLY,5,AGRICULTURAL,162,145.0,0.0,600.5,True,False,0.0,11.0,True,False,0.0,0.015057028812354472,-0.048349860662228156,-0.21825327419646498,0.012380412306974693,0.0,0.030864197530864196,0.034482758620689655,0.004,0.00832639467110741,1.1172413793103448
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,DAMARU GIDDA,5,AGRICULTURAL,151,143.0,0.0,563.25,True,False,0.0,11.0,True,False,0.0,-0.0510557201907767,-0.060893138359859725,-0.21825327419646498,-0.047845873627623284,0.0,0.033112582781456956,0.03496503496503497,0.004,0.00887705281846427,1.055944055944056
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,DEVARAMPALLY,5,AGRICULTURAL,105,102.0,0.0,390.75,True,False,0.0,11.0,True,False,0.0,-0.32752721602205254,-0.318030331161307,-0.21825327419646498,-0.3267461239287817,0.0,0.047619047619047616,0.049019607843137254,0.004,0.012795905310300703,1.0294117647058822
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,DHARMA SAGAR,5,AGRICULTURAL,33,27.0,0.0,123.75,True,False,0.0,11.0,True,False,0.0,-0.7602652094970929,-0.7884032448224911,-0.21825327419646498,-0.7584352070036182,0.0,0.15151515151515152,0.18518518518518517,0.004,0.04040404040404041,1.2222222222222223
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,DUDYAGU,5,AGRICULTURAL,23,23.0,0.0,86.25,True,False,0.0,11.0,True,False,0.0,-0.8203677085908485,-0.8134898002177543,-0.21825327419646498,-0.8190656961995222,0.0,0.21739130434782608,0.21739130434782608,0.004,0.057971014492753624,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,EARLA PALLY,5,AGRICULTURAL,128,126.0,0.0,480.0,True,False,0.0,11.0,True,False,0.0,-0.18929146810641462,-0.1675109987897281,-0.21825327419646498,-0.18244555964253018,0.0,0.0390625,0.03968253968253968,0.004,0.010416666666666666,1.0158730158730158
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,EKKAREDDY GUDA,5,AGRICULTURAL,37,34.0,0.0,128.99,True,False,0.0,11.0,True,False,0.0,-0.7362242098595907,-0.7445017728807806,-0.21825327419646498,-0.7499631066466439,0.0,0.13513513513513514,0.14705882352941177,0.004,0.03876269478254128,1.088235294117647
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ERRANI KOTLA,5,AGRICULTURAL,6,6.0,0.0,22.5,True,False,0.0,11.0,True,False,0.0,-0.922541957050233,-0.9201076606476226,-0.21825327419646498,-0.9221375278325591,0.0,0.8333333333333334,0.8333333333333334,0.004,0.2222222222222222,1.0
